Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell,Tempo di Refactoring,Debito Tecnico
173,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARoutePredicatePanel.java,5.0.0,5,916,26.1
174,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/TicketExpirationPolicyDirectoryPanel.java,5.0.0,1,360,26.1
175,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/StyledNotificationBehavior.java,5.0.0,3,280,25.9
176,SYNCOPE,ext/saml2sp4ui/client-common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/AbstractSAMLSSOLoginFormPanel.java,5.0.0,3,542,25.8
177,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/JobActionPanel.java,5.0.0,5,938,25.8
178,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfileWizardBuilder.java,5.0.0,6,632,25.7
179,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfilePanel.java,5.0.0,1,330,25.6
180,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/policies/InboundPolicyDirectoryPanel.java,5.0.0,2,368,25.6
181,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/ReauthLogin.java,5.0.0,1,300,25.6
182,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/widgets/RemediationsWidget.java,5.0.0,2,305,25.4
183,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/TicketExpirationPolicyModalPanel.java,5.0.0,2,570,25.3
184,SYNCOPE,ext/flowable/client-enduser/src/main/java/org/apache/syncope/client/enduser/panels/UserRequestDetails.java,5.0.0,2,600,25.3
185,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/audit/AuditHistoryModal.java,5.0.0,2,272,25.2
186,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ConnectorConfPanel.java,5.0.0,3,307,25.0
187,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceConnCapabilitiesPanel.java,5.0.0,4,583,24.9
188,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/CSVPullWizardBuilder.java,5.0.0,14,1735,24.8
189,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/Details.java,5.0.0,5,647,24.8
190,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRAStatisticsPanel.java,5.0.0,4,840,24.8
